Cellname,Neuron,n-r,slope-r,intercept-r,r-r,p-r,n-l,slope-l,intercept-l,r-l,p-l,bothcells
SB10Jan12.mat,SB10Jan12,110,0.127467728,38.79874733,0.314947074,0.000804716,143,-0.103620049,43.78356661,-0.323287744,8.20539E-05,TRUE
SC12Dec11.mat,SC12Dec11,133,0.076197682,35.2170828,0.335001697,8.09835E-05,151,-0.31757599,36.80107807,-0.809351864,2.9361E-36,TRUE
SD04Jan12.mat,SD04Jan12,287,0.098345147,20.67219134,0.274323576,2.38326E-06,283,-0.118904677,15.74507175,-0.487956053,2.45819E-18,TRUE
SD21Sep11.mat,SD21Sep11,114,0.185048014,23.82415499,0.498298776,1.68441E-08,180,-0.108939616,41.76702607,-0.506294162,4.14594E-13,TRUE
UB22may12.mat,UB22may12,66,0.163203014,17.01050985,0.811115146,1.50416E-16,60,-0.194017954,16.09933286,-0.826086812,4.48523E-16,TRUE
UB23mar12.mat,UB23mar12,66,0.173636099,-1.191028952,0.659893432,1.67405E-09,55,-0.158039342,20.31976956,-0.731392005,2.27045E-10,TRUE
UB24oct11.mat,UB24oct11,121,0.105346418,38.83777248,0.388638631,1.05738E-05,97,-0.102561428,32.30106,-0.412675989,2.6633E-05,TRUE
UC17feb12.mat,UC17feb12,364,0.179775259,-4.476332275,0.653004805,1.29402E-45,141,-0.262245285,-7.49580645,-0.850770932,1.15477E-40,TRUE
SB10Oct11.mat,SB10Oct11,223,0.46950352,102.2453513,0.621604124,3.12378E-25,170,0.135817729,37.18938493,0.462241021,2.21708E-10,FALSE
SB21Oct11.mat,SB21Oct11,94,1.09351037,4.071657038,0.84331371,1.5136E-26,63,0.350349352,70.901108,0.532501083,7.05055E-06,FALSE
SC14Oct11.mat,SC14Oct11,168,0.055553378,28.64138363,0.291090189,0.000129176,121,0.092536935,27.00294719,0.366122218,3.62959E-05,FALSE
SC18Oct11.mat,SC18Oct11,181,0.40382793,15.9347569,0.523825721,3.82252E-14,133,0.121271822,33.42287873,0.476947011,6.48162E-09,FALSE
UD16sep11.mat,UD16sep11,133,-0.067082765,25.27225392,-0.32486373,0.000136095,194,-0.170595137,50.47703185,-0.402892454,5.74175E-09,FALSE
SB16Sep11.mat,SB16Sep11,45,0.116189415,-0.723634652,0.333334354,0.025248875,64,-0.225301157,16.31525028,-0.74396887,1.87024E-12,FALSE
