Neuron,shift,rsquared,f,gsp,rhv,lhv,rep,lep,rha,lha,rhp,lhp,rev,lev,rea,lea
SB21Oct11,120,0.82592684382845,fr ~ 1 + rhv + rep,gs,0.460512897962019,NaN,4.28760879317155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB21dec11,50,0.808229588119478,fr ~ 1 + lhv + lep,gs,NaN,-0.266777767653375,NaN,7.04033763245482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB22may12,80,0.775727961540953,fr ~ 1 + rhv + lhv,gs,0.375474258915906,0.337448149524116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB16feb12,100,0.761723173409616,fr ~ 1 + lhv,gs,NaN,0.35756635886187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB21Oct11,120,0.736342880623789,fr ~ 1 + rhv + rep,ps,0.365118241773264,NaN,5.48392997752742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UC22may12,80,0.728131363281763,fr ~ 1 + rhv + lhv,gs,0.32757224745012,0.26610553297991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB21dec11,70,0.694670611755606,fr ~ 1 + lep,ps,NaN,NaN,NaN,5.66809320417159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB10Oct11,160,0.687874889831065,fr ~ 1 + rhv + rep,gs,0.703632834724787,NaN,1.61408168994281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC18Oct11,40,0.664420988884435,fr ~ 1 + rhp + rhv,gs,0.586884108257444,NaN,NaN,NaN,NaN,NaN,0.822341542419796,NaN,NaN,NaN,NaN,NaN
UD16sep11,130,0.658462820745043,fr ~ 1 + lhv,gs,NaN,0.480569973760538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UC03jan12,110,0.646742981428822,fr ~ 1 + lhv + rep,gs,NaN,0.299622107573253,0.77041643682954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB10Oct11,160,0.643157625113024,fr ~ 1 + rhp + rhv + lep,ps,1.0355526407317,NaN,NaN,-1.73042429849607,NaN,NaN,1.10457621236541,NaN,NaN,NaN,NaN,NaN
SE17Oct11,150,0.63244307697664,fr ~ 1 + rhv,ps,0.613597686995722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB22may12,60,0.610366394360998,fr ~ 1 + rhv + lhv,ps,0.331280343134607,0.463531254787938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB04nov11,70,0.607190500602966,fr ~ 1 + rhv + lhv,gs,0.294635599745649,0.308297849892115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UBA4jun12,90,0.594981720600117,fr ~ 1 + rhv + lhv,gs,0.31767615280796,0.288658550224452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC23Sep11,120,0.574364846382965,fr ~ 1 + lhv,ps,NaN,1.13629709955378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC23Sep11,130,0.56174578450416,fr ~ 1 + lhv + rep,gs,NaN,0.407423166385735,-1.3539314546912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC12Dec11,70,0.558296611047445,fr ~ 1 + lhv,gs,NaN,0.498040076075512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB23mar12,70,0.553535547965177,fr ~ 1 + lhv,gs,NaN,0.263035289437247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD09Jan12,140,0.545042297831831,fr ~ 1 + lhv,gs,NaN,1.30960597141515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UC22may12,70,0.543943801904884,fr ~ 1 + rhv + lhv,ps,0.236192552966994,0.36931749686935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB26mar12,80,0.521867103961176,fr ~ 1 + lhv,gs,NaN,0.293532626036446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB16feb12,80,0.514259553255914,fr ~ 1 + lhv + rep,ps,NaN,0.714749681762678,1.11955875717888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB28Sep11,60,0.505617115549803,fr ~ 1 + rhv + rep,gs,0.295788840349289,NaN,1.10330755411786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC21Dec11,140,0.467330192500105,fr ~ 1 + lhv + lep,gs,NaN,0.249058558807738,NaN,1.34275634309544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB05jan12,50,0.465460561812872,fr ~ 1 + lhp + lhv + rha,ps,NaN,0.338561640332176,NaN,NaN,0.0411317579693967,NaN,NaN,-0.507904159767813,NaN,NaN,NaN,NaN
