Neuron,shift,rsquared,f,gsp,rhv,lhv,rep,lep,rha,lha,rhp,lhp,rev,lev,rea,lea
SB21Oct11,120,0.82592684382845,fr ~ 1 + rhv + rep,gs,0.460512897962019,NaN,4.28760879317155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB22may12,70,0.768193775388094,fr ~ 1 + rhv + lhv,gs,0.374052141890471,0.335356245044262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB16feb12,90,0.743727206245473,fr ~ 1 + lhv,gs,NaN,0.353384922629837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB21Oct11,120,0.736342880623789,fr ~ 1 + rhv + rep,ps,0.365118241773264,NaN,5.48392997752742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UC22may12,80,0.728131363281763,fr ~ 1 + rhv + lhv,gs,0.32757224745012,0.26610553297991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB21dec11,60,0.712587456633305,fr ~ 1 + lep,gs,NaN,NaN,NaN,5.81657330184006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB21dec11,60,0.686927413176128,fr ~ 1 + lep,ps,NaN,NaN,NaN,5.58363979480632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UD16sep11,130,0.658462820745043,fr ~ 1 + lhv,gs,NaN,0.480569973760538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UC03jan12,110,0.646742981428822,fr ~ 1 + lhv + rep,gs,NaN,0.299622107573253,0.77041643682954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SE17Oct11,150,0.63244307697664,fr ~ 1 + rhv,ps,0.613597686995722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB10Oct11,170,0.612531633610053,fr ~ 1 + rhp + rhv,gs,0.968395934580754,NaN,NaN,NaN,NaN,NaN,0.693511229493668,NaN,NaN,NaN,NaN,NaN
UB22may12,70,0.607554348982921,fr ~ 1 + rhv + lhv,ps,0.334455931796005,0.460279833003444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB04nov11,70,0.607190500602966,fr ~ 1 + rhv + lhv,gs,0.294635599745649,0.308297849892115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB10Oct11,170,0.595099990215983,fr ~ 1 + rhp + rhv,ps,1.04955478612963,NaN,NaN,NaN,NaN,NaN,1.2836245529595,NaN,NaN,NaN,NaN,NaN
UBA4jun12,90,0.594981720600117,fr ~ 1 + rhv + lhv,gs,0.31767615280796,0.288658550224452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC18Oct11,40,0.582986519574251,fr ~ 1 + rhv + lep,gs,0.56851125368108,NaN,NaN,-0.864715534128182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
