Neuron,shift,rsquared,f,gsp,rhv,lhv,rep,lep,rha,lha,rhp,lhp,rev,lev,rea,lea,uhv,dhv,uep,dep,uha,dha,uhp,dhp,uev,dev,uea,dea,ttype
SB10Oct11,160,0.688172031215745,fr ~ 1 + rhv + rep,gs,0.710867051077316,NaN,1.60769533250211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB10Oct11,160,0.643782640674645,fr ~ 1 + rhp + rhv + lep,ps,1.04171578601904,NaN,NaN,-1.73094152996696,NaN,NaN,1.10364401341079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB21Oct11,120,0.82650142963405,fr ~ 1 + rhv + rep,gs,0.467766350978484,NaN,4.27742590839818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB21Oct11,120,0.736357131296862,fr ~ 1 + rhv + rep,ps,0.366951049178483,NaN,5.48422612996522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC12Dec11,40,0.573611463077274,fr ~ 1 + lhv + lev,gs,NaN,0.467638256029061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.107621246090352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC12Dec11,80,0.413841495115014,fr ~ 1 + lhv + rha,ps,NaN,0.651641426224416,NaN,NaN,0.035285404600778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC16Sep11,70,0.17251133303166,fr ~ 1 + lhp + lhv,gs,NaN,0.167863241131844,NaN,NaN,NaN,NaN,NaN,-0.297161812178605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC16Sep11,30,0.267254410064686,fr ~ 1 + lhv,ps,NaN,0.485580260998387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC18Oct11,40,0.667426797403381,fr ~ 1 + rhp + rhv,gs,0.594630395282909,NaN,NaN,NaN,NaN,NaN,0.818955332066412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC18Oct11,120,0.322429595924346,fr ~ 1 + rhp + lhp + rhv + lep,ps,0.236196364214993,NaN,NaN,-0.688199694740888,NaN,NaN,0.53823167320669,0.419132709743084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
