"Neuron","p.right","p.left","p.left.slope","p.left.int","p.right.slope","p.right.int"
"SB04Nov11",0.0785118711570356,0.116621890568578,0.475835782294612,0.665133402612959,0.353535627427501,0.266897174977364
"SB05Oct11",0.000735762311966368,0.00872999118199223,0.802818526438339,0.313628955609502,0.260997302179234,0.364768574466624
"SB07Oct11",0.92140197631262,0.617996341868533,0.0277026090882943,0.568493572519514,0.361460378415982,0.935582151666419
"SB10Jan12",0.0283213134256686,0.0996831615307564,0.14113054682031,0.169204415450409,0.304377194424587,0.526650393504349
"SB10Oct11",7.59817619488506e-20,0.00120692282965642,0.418384639687273,0.759830755285441,2.34613157980449e-06,0.0845219040321042
"SB15Sep11",5.25802228415497e-05,0.942084386561673,0.770713101359676,0.231574108147555,0.480713063256653,0.239756855377926
"SB16Sep11",0.34577421990453,5.15093470394897e-08,0.119858706897071,0.105263823443837,0.981102799312351,0.0778685060119149
"SB18Oct11",0.267415589294836,0.0123982885892202,0.573472948191411,0.428183634823248,0.108400203163315,0.0832868790280376
"SB19Jan12",0.00108098155926049,0.140616352994084,0.555008039060295,0.147497698277183,0.0439803254128587,0.050778284909308
"SB21Oct11",4.62668583471702e-16,0.00140600176098677,0.265424826456456,0.0144661675238081,0.0176355222231343,5.13127598497824e-06
"SB28Sep11",1.45470348297206e-06,0.600099512558081,0.64856756094428,0.553748409582247,0.0319431376809767,0.0402988418613196
"SB30Sep11",0.00032767211715148,0.059859282699618,0.387410370323978,0.497923541570722,0.654299944359894,0.798027651997411
"SC07Oct11",0.0546395120354017,7.23940306707842e-06,0.623220006956291,0.714546554208795,0.519259162186222,0.0285104802035039
"SC12Dec11",6.28371346394414e-10,3.76293564904073e-30,9.03895957841224e-05,2.82307205166157e-07,0.014895871732624,0.00513028864243926
"SC14Oct11",1.00907645479065e-06,0.00144953072733397,0.0211631734742615,0.0267844554833157,0.163151652916333,0.054596591447126
"SC15Sep11",0.525385596720774,0.964376936383984,0.00278879757238642,0.0604298765366477,0.717903221080961,0.423419901430625
"SC16Sep11",0.00158680107287841,5.20253877188795e-05,0.000977208782856135,0.00110396376708804,0.978091662641126,0.341702519514301
"SC18Oct11",2.09267191199916e-16,4.15395409343427e-05,0.0130580965528671,0.000232902528757502,0.102184698835124,0.0170774943147005
"SC19Jan12",0.88108217418298,2.4577470400596e-07,0.571254827098893,0.910237653445657,0.401653731321023,0.490526031670919
"SC19Oct11",0.0344860779191639,0.613120917872525,0.0156593083399823,0.390713335175297,0.00461675535197554,0.00208312075691328
"SC21Dec11",0.217804566155431,3.01691927762951e-22,0.649499392777422,0.249449737953008,0.658753068788971,0.0291897444090812
"SC23Sep11",0.30144816575563,8.6838064970602e-13,0.00011320606559632,0.00542014727869982,0.0392689675001294,0.099776745462333
"SC28Nov11",0.759951783873688,0.0943129135705214,0.591067068548905,0.101354973560698,0.705834815037585,0.00379643517649714
"SD03Nov11",0.145691610556896,0.891830174299997,0.053707776451876,0.464184694217188,0.38726360392577,0.118286724644003
"SD04Jan12",0.000138760818893007,1.78236240081238e-18,0.228051826109777,0.000106673018530982,3.64091482858018e-05,1.93987416993363e-09
"SD06Dec11",0.273203755155551,0.00287919305090167,0.575438499125399,0.116935523679333,0.979454988255335,0.307703284481142
"SD09Jan12",0.00180522814743456,0.0028908881625999,0.194635307276262,2.1484655954483e-05,0.213607484333262,0.110569499921471
"SD13Jan12",0.867672452758259,0.000183784363245643,0.256284136373937,0.0475260060350785,0.071703285364867,0.184502846772808
"SD21Sep11",0.0246409330633866,0.00138741553587782,0.858972412689622,0.490756910350433,0.458185094411296,0.365174923925861
"SD28Sep11",0.51177665149324,0.00117771149983666,0.271095585230338,0.148830115599869,0.555269854118961,0.00768706728786466
"SD30Sep11",0.166507741214296,0.818376544336435,0.125843372405184,0.00157634879311698,0.0526522221789483,0.000834733129219856
"SE17Oct11",0.0129291503272572,0.168481792770489,0.521956803088739,0.732363278933554,0.000960405642100921,0.790394230593828
"UB04jun12",7.24445536988985e-05,0.000167250311033787,0.793796859887619,0.398595221485694,0.795005738569727,0.529667560018984
"UB04nov11",4.04064796903327e-06,0.733398959613042,0.0126812848487301,0.0289794904437022,0.360409609245555,0.753835495291751
"UB05jan12",7.41393476084715e-24,0.00693571504525334,0.000275354375483044,0.53422789596354,3.61139015656311e-14,2.67854486499586e-11
"UB07oct11",9.04923100263715e-06,0.00657455768822274,0.0109852840488521,0.00695899549888197,0.00602524865747984,1.46515965596343e-05
"UB11jan12",0.799048771109923,2.13714774717043e-07,0.721059907354265,0.656041299016559,0.60462130701187,0.685603464454491
"UB14dec11",0.00337327371224397,0.00223954228548567,0.768724240336988,0.841914292737355,0.240915864910095,0.0173587570291182
"UB14may12",0.944986871434716,0.368075559758856,0.945837142754961,0.0126545078983015,0.00169245473636097,0.838083201540441
"UB16feb12",0.00125652859439781,2.27283582146031e-07,0.0247331686170522,0.352081106529751,0.38838479305015,1.49318312335077e-05
"UB22may12",3.20656110753456e-14,2.69460878283996e-10,0.150498650214473,0.35696181648123,0.13332220220941,0.00999975089518111
"UB23feb12",2.05346328773152e-06,0.00159374780518661,0.0404236387739928,0.000801550931804038,0.459526364062141,0.0288535360686191
"UB23mar12",0.0355670701737943,0.00067917634461247,0.693627616478587,0.362284145573778,0.323514909305328,0.23652818263058
"UB24oct11",1.33475362274846e-10,6.72860369903921e-09,0.949634519809235,0.660609597138646,0.113306798331182,2.562088541617e-05
"UB26mar12",0.000427975694411816,1.06040858174093e-05,0.120954976882325,0.216809810118561,0.0785761578704104,0.392323918069754
"UB28sep11",0.030442993220214,0.936188879675057,0.184451553550854,0.933830287014018,0.0645659463776314,0.00270995959746137
"UC03jan12",0.140699306752347,0.00274806331344831,0.0498017024842045,0.389524697333208,0.841950405375003,0.807473241103047
"UC17feb12",2.40056940438627e-20,8.09716225924347e-22,0.512047213017295,0.760152742938662,0.0111223869413997,0.000171635916046586
"UC22may12",3.8534757991523e-06,0.000147157865452822,0.561463574913537,0.0355208383952121,0.56705387305671,0.889443633094431
"UD16sep11",0.00189067430928885,1.37253284097901e-05,0.49348562994622,0.447328115149325,0.781840509045659,0.0494200799056637
"UE31oct11",0.0362741949516034,0.125995142122814,0.478191387846726,0.11889224509843,0.37050508787263,0.309229037185951
