Neuron,shift,rsquared,f,rhv,lhv,rep,lep,rha,lha,rhp,lhp,rev,lev,rea,lea,uhv,dhv,uep,dep,uha,dha,uhp,dhp,uev,dev,uea,dea,ttype
SB21Oct11,120,0.767732097977378,fr ~ 1 + rhv + rep,0.363682187659028,NaN,4.92903337705771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB22may12,70,0.63705387735661,fr ~ 1 + rhv + lhv,0.349632696675258,0.423361898983688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SE17Oct11,150,0.59233519475801,fr ~ 1 + rhv,0.568849468366079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB10Oct11,170,0.581549313820982,fr ~ 1 + rhp + rhv,1.0102374919842,NaN,NaN,NaN,NaN,NaN,1.14715804769605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UC22may12,80,0.569226575344665,fr ~ 1 + rhv + lhv,0.252151226432689,0.332567881971553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC23Sep11,130,0.475629615187404,fr ~ 1 + lhv,NaN,0.790352213586359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD09Jan12,130,0.40586283341799,fr ~ 1 + lhv,NaN,1.32028959755466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB23mar12,80,0.399726889656657,fr ~ 1 + lhv + rep,NaN,0.342893305043684,0.837964930455486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC12Dec11,70,0.399320608890796,fr ~ 1 + lhv,NaN,0.601787108442614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB16feb12,90,0.399420621892559,fr ~ 1 + lhv,NaN,0.574327250472563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB05jan12,60,0.40141528555308,fr ~ 1 + lhp + lhv + rha,NaN,0.208187381253639,NaN,NaN,0.041585711880297,NaN,NaN,0.427347455328544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB15Sep11,110,0.371473844807247,fr ~ 1 + rhv,0.289847428327589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB28sep11,20,0.37364103853462,fr ~ 1 + rhp + rhv + uhv,0.188864526611705,NaN,NaN,NaN,NaN,NaN,0.4266942548695,NaN,NaN,NaN,NaN,NaN,0.4446763749027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD03Nov11,160,0.340679670498644,fr ~ 1 + lhv,NaN,0.553367784754989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SC18Oct11,40,0.330889772249565,fr ~ 1 + rhv + lep,0.322691574777957,NaN,NaN,-1.30546452113742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB16Sep11,70,0.324439051093899,fr ~ 1 + lhv,NaN,0.541065691027313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UD16sep11,130,0.320951201506607,fr ~ 1 + lhv,NaN,0.456892266565432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB04nov11,70,0.312400979821214,fr ~ 1 + rhv + lhv,0.277005427445078,0.249184392397458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SB18Oct11,70,0.302185902747738,fr ~ 1 + rhv,0.464037568173927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UB26mar12,80,0.29870571609982,fr ~ 1 + lhv,NaN,0.327686388193821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
